p_type	dpi	cultivar	GO	NS	enrichment	name	criteria	ratio_in_study	assigned_genes	total_genes	p-to-use	p_uncorrected	depth	study_count	p_fdr_bh	study_items
puncorrected0.05	3dpi	SA	GO:0044444	CC	e	cytoplasmic part              	enriched-SA	14702	4	40	0.0207	0.0207	3	4	1	"TraesCS2A02G009300, TraesCS2A02G031600, TraesCS2D02G010200, TraesCS7A02G422400"
pfdr0.05	3dpi	OA	GO:0046906	MF	e	tetrapyrrole binding          	enriched-OA	18/386	18	386	4.91E-06	5.73E-08	3	18	4.91E-06	"TraesCS2A02G107600, TraesCS2A02G108600, TraesCS2A02G322500, TraesCS2B02G124800, TraesCS2B02G360300, TraesCS2D02G006500, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G107900, TraesCS4A02G106300, TraesCS4A02G308600, TraesCS4B02G382300, TraesCS5A02G317600, TraesCS5D02G462500, TraesCS6B02G063900, TraesCS6B02G158300, TraesCS6D02G377900, TraesCS7D02G354100"
pfdr0.05	3dpi	OA	GO:0050662	MF	e	coenzyme binding              	enriched-OA	11/386	11	386	0.00189	2.88E-05	3	11	0.00189	"TraesCS1A02G122500, TraesCS2A02G026600, TraesCS2B02G146000, TraesCS3D02G104500, TraesCS4A02G331600, TraesCS4A02G393500, TraesCS6B02G302400, TraesCS6B02G353200, TraesCS6D02G255200, TraesCS7A02G392800, TraesCS7B02G175300"
pfdr0.05	3dpi	OA	GO:0051186	BP	e	cofactor metabolic process    	enriched-OA	8/386	8	386	0.0135	0.000282	3	8	0.0135	"TraesCS2A02G107600, TraesCS2A02G108600, TraesCS2B02G124800, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G107900, TraesCS6B02G063900, TraesCS7A02G442500"
pfdr0.05	3dpi	OA	GO:0072593	BP	e	reactive oxygen species metabolic process	enriched-OA	8/386	8	386	0.000588	7.87E-06	3	8	0.000588	"TraesCS2A02G107600, TraesCS2A02G108600, TraesCS2A02G121200, TraesCS2B02G124800, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G107900, TraesCS6B02G063900"
pfdr0.05	3dpi	OA	GO:0098869	BP	e	cellular oxidant detoxification	enriched-OA	7/386	7	386	0.00204	3.31E-05	3	7	0.00204	"TraesCS2A02G107600, TraesCS2B02G124800, TraesCS2D02G107600, TraesCS2D02G107800, TraesCS2D02G107900, TraesCS4A02G106300, TraesCS6B02G063900"
pfdr0.05	3dpi	OA	GO:1901135	BP	e	carbohydrate derivative metabolic process	enriched-OA	12/386	12	386	3.20E-06	3.44E-08	3	12	3.20E-06	"TraesCS1A02G203600, TraesCS1A02G203700, TraesCS1D02G207000, TraesCS1D02G207100, TraesCS2A02G033600, TraesCS2B02G084200, TraesCS3B02G547300, TraesCS3D02G260300, TraesCS3D02G493700, TraesCS5A02G014400, TraesCS5D02G408200, TraesCS7D02G073400"
pfdr0.05	3dpi	OA	GO:1901265	MF	e	nucleoside phosphate binding  	enriched-OA	68/386	68	386	1.94E-18	3.62E-21	3	68	1.94E-18	"TraesCS1A02G006300, TraesCS1A02G017900, TraesCS1A02G018000, TraesCS1A02G122500, TraesCS1A02G422600, TraesCS1B02G006500, TraesCS1B02G007100, TraesCS1B02G036700, TraesCS1B02G036800, TraesCS1B02G060700, TraesCS1B02G456700, TraesCS1D02G430800, TraesCS2A02G003900, TraesCS2A02G026600, TraesCS2A02G107000, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2B02G146000, TraesCS2D02G571100, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3A02G039200, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G481000, TraesCS3D02G438600, TraesCS4A02G331100, TraesCS4A02G363900, TraesCS4A02G393500, TraesCS4A02G447300, TraesCS4A02G447700, TraesCS4A02G461800, TraesCS4A02G466000, TraesCS4A02G471700, TraesCS5A02G003600, TraesCS5A02G157200, TraesCS5A02G260600, TraesCS5A02G321300, TraesCS5D02G004400, TraesCS5D02G187500, TraesCS5D02G328100, TraesCS6A02G004500, TraesCS6A02G228900, TraesCS6A02G385000, TraesCS6B02G058300, TraesCS6B02G114200, TraesCS6B02G152700, TraesCS6B02G302400, TraesCS6B02G353200, TraesCS6D02G255200, TraesCS6D02G375700, TraesCS6D02G392700, TraesCS7A02G039500, TraesCS7A02G039900, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G567500, TraesCS7B02G175300, TraesCS7B02G378300, TraesCS7B02G415600, TraesCS7D02G017400, TraesCS7D02G020800, TraesCS7D02G036700, TraesCS7D02G040500, TraesCS7D02G161100, TraesCS7D02G544600, TraesCS7D02G546100, TraesCSU02G141500"
pfdr0.05	3dpi	OA	GO:1901564	BP	e	organonitrogen compound metabolic process	enriched-OA	57/386	57	386	2.43E-10	1.27E-12	3	57	2.43E-10	"TraesCS1A02G006300, TraesCS1A02G017900, TraesCS1A02G018000, TraesCS1A02G203600, TraesCS1A02G203700, TraesCS1A02G422600, TraesCS1B02G006500, TraesCS1B02G007100, TraesCS1B02G036700, TraesCS1B02G377700, TraesCS1B02G456700, TraesCS1D02G207000, TraesCS1D02G207100, TraesCS1D02G430800, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2A02G107000, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G145300, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G039200, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G481000, TraesCS3B02G547300, TraesCS3D02G260300, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4B02G297300, TraesCS4D02G296200, TraesCS5A02G014400, TraesCS5A02G321300, TraesCS5D02G187500, TraesCS5D02G328100, TraesCS5D02G408200, TraesCS6A02G004500, TraesCS6A02G228900, TraesCS6A02G283500, TraesCS6A02G385000, TraesCS6A02G406500, TraesCS6B02G152700, TraesCS6D02G264000, TraesCS6D02G371300, TraesCS6D02G375700, TraesCS6D02G389600, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G510200, TraesCS7B02G378300, TraesCS7B02G415600, TraesCS7D02G036700, TraesCS7D02G161100"
pfdr0.05	3dpi	OA	GO:1901575	BP	e	organic substance catabolic process	enriched-OA	13/386	13	386	0.000198	2.59E-06	3	13	0.000198	"TraesCS1A02G203600, TraesCS1A02G203700, TraesCS1D02G207000, TraesCS1D02G207100, TraesCS2A02G022700, TraesCS2A02G033600, TraesCS2B02G084200, TraesCS3D02G260300, TraesCS5A02G014400, TraesCS5D02G408200, TraesCS6B02G302400, TraesCS6D02G255200, TraesCS7D02G207300"
pfdr0.05	3dpi	OA	GO:1901576	BP	e	organic substance biosynthetic process	enriched-OA	23/386	23	386	0.0175	0.000367	3	23	0.0175	"TraesCS1A02G088600, TraesCS1A02G358100, TraesCS1A02G358400, TraesCS1B02G107600, TraesCS1B02G374900, TraesCS1D02G090000, TraesCS1D02G363300, TraesCS2D02G572300, TraesCS3A02G056000, TraesCS3A02G209800, TraesCS3B02G129900, TraesCS3B02G240200, TraesCS3B02G547300, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS5A02G007900, TraesCS6A02G286900, TraesCS6A02G406500, TraesCS7A02G013400, TraesCS7A02G241100, TraesCS7A02G392800, TraesCS7A02G442500, TraesCS7D02G263800"
pfdr0.05	7dpi	SA	GO:0001505	BP	e	regulation of neurotransmitter levels	enriched-SA	2/229	2	229	0.0265	0.000549	3	2	0.0265	"TraesCS2A02G467900, TraesCS6B02G342400"
pfdr0.05	7dpi	OA	GO:0004497	MF	e	monooxygenase activity        	enriched-OA	12/544	12	544	0.000417	4.68E-06	3	12	0.000417	"TraesCS1A02G238700, TraesCS1A02G395100, TraesCS1D02G004500, TraesCS2B02G360300, TraesCS4B02G311100, TraesCS4B02G382300, TraesCS5A02G317600, TraesCS5A02G455800, TraesCS5D02G407500, TraesCS6B02G158300, TraesCS7A02G523800, TraesCS7D02G512800"
pfdr0.05	7dpi	SA	GO:0005618	CC	e	cell wall                     	enriched-SA	4/229	4	229	0.0351	0.000755	3	4	0.0351	"TraesCS1A02G300200, TraesCS1B02G310300, TraesCS3A02G204000, TraesCS7D02G419300"
pfdr0.05	7dpi	OA	GO:0005975	BP	e	carbohydrate metabolic process	enriched-OA	14/544	14	544	0.033	0.000868	3	14	0.033	"TraesCS1B02G107600, TraesCS1D02G009100, TraesCS1D02G430700, TraesCS2A02G105900, TraesCS2A02G372400, TraesCS2B02G084200, TraesCS3D02G192800, TraesCS3D02G432600, TraesCS4A02G127000, TraesCS4A02G321500, TraesCS5A02G014400, TraesCS5B02G394200, TraesCS7A02G030500, TraesCS7A02G427100"
pfdr0.05	7dpi	OA	GO:0006082	BP	e	organic acid metabolic process	both	18/544	18	544	1.53E-05	1.33E-07	3	18	1.53E-05	"TraesCS1A02G291200, TraesCS1B02G233200, TraesCS1D02G141800, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS3A02G305400, TraesCS3D02G022200, TraesCS3D02G192800, TraesCS3D02G237500, TraesCS3D02G432600, TraesCS4D02G263500, TraesCS5A02G014400, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS7A02G003600, TraesCS7A02G392800, TraesCS7B02G044200"
pfdr0.05	7dpi	SA	GO:0006082	BP	e	organic acid metabolic process	both	8/229	8	229	0.0163	0.000278	3	8	0.0163	"TraesCS1A02G353800, TraesCS1D02G042100, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS3D02G022400, TraesCS5B02G102000, TraesCS6B02G342400, TraesCSU02G115400"
pfdr0.05	7dpi	SA	GO:0006450	BP	e	regulation of translational fidelity	both	2/229	2	229	0.0122	0.000196	3	2	0.0122	"TraesCS3D02G022400, TraesCS6D02G229600"
pfdr0.05	7dpi	OA	GO:0006450	BP	e	regulation of translational fidelity	both	2/544	2	544	0.04	0.00109	3	2	0.04	"TraesCS1B02G233200, TraesCS5B02G042800"
pfdr0.05	7dpi	OA	GO:0006725	BP	e	cellular aromatic compound metabolic process	both	32/544	32	544	0.00107	1.35E-05	3	32	0.00107	"TraesCS1B02G233200, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G022200, TraesCS3D02G173300, TraesCS3D02G192800, TraesCS3D02G432600, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4A02G437100, TraesCS4B02G311100, TraesCS4B02G329100, TraesCS5A02G014400, TraesCS5B02G042800, TraesCS6A02G173700, TraesCS6B02G005300, TraesCS7A02G003600, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7A02G536900, TraesCS7D02G015500, TraesCS7D02G073400, TraesCS7D02G263800, TraesCSU02G002300"
pfdr0.05	7dpi	SA	GO:0006725	BP	e	cellular aromatic compound metabolic process	both	16/229	16	229	0.0159	0.00027	3	16	0.0159	"TraesCS1A02G152600, TraesCS1B02G170100, TraesCS2A02G009300, TraesCS2A02G562400, TraesCS2D02G010200, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS4A02G315700, TraesCS4B02G278200, TraesCS6B02G113200, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7D02G032700, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:0006793	BP	e	phosphorus metabolic process  	enriched-OA	42/544	42	544	3.91E-07	2.50E-09	3	42	3.91E-07	"TraesCS1A02G433500, TraesCS1B02G036700, TraesCS1B02G107600, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2B02G084200, TraesCS2D02G145300, TraesCS2D02G571100, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3A02G049600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G055700, TraesCS3B02G055835, TraesCS3B02G056500, TraesCS3B02G481000, TraesCS3D02G001500, TraesCS3D02G040800, TraesCS3D02G192800, TraesCS3D02G312000, TraesCS3D02G432600, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4A02G465900, TraesCS5A02G014400, TraesCS5A02G413900, TraesCS5B02G056700, TraesCS5B02G428400, TraesCS5D02G019400, TraesCS6A02G004500, TraesCS6A02G008400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G375700, TraesCS6D02G381300, TraesCS7A02G040400, TraesCS7A02G434100, TraesCS7B02G333700, TraesCS7D02G036700"
pfdr0.05	7dpi	SA	GO:0006810	BP	e	transport                     	both	15/229	15	229	0.00736	9.85E-05	3	15	0.00736	"TraesCS1A02G277100, TraesCS1D02G200000, TraesCS2A02G031600, TraesCS2B02G013000, TraesCS2D02G009100, TraesCS4A02G287900, TraesCS4B02G262900, TraesCS5A02G030900, TraesCS5A02G100600, TraesCS5A02G332300, TraesCS5D02G338200, TraesCS6D02G060200, TraesCS7A02G206400, TraesCS7D02G130800, TraesCSU02G207500"
pfdr0.05	7dpi	OA	GO:0006810	BP	e	transport                     	both	24/544	24	544	0.0278	0.000663	3	24	0.0278	"TraesCS1A02G139900, TraesCS2A02G046600, TraesCS2B02G518500, TraesCS2D02G307400, TraesCS2D02G572700, TraesCS3A02G229400, TraesCS3D02G356300, TraesCS4A02G130300, TraesCS4A02G283900, TraesCS4B02G382200, TraesCS4D02G026800, TraesCS5B02G145900, TraesCS5B02G197300, TraesCS6A02G099800, TraesCS6B02G128000, TraesCS6D02G214300, TraesCS7A02G118900, TraesCS7A02G345500, TraesCS7A02G461200, TraesCS7B02G321200, TraesCS7D02G114200, TraesCS7D02G412900, TraesCS7D02G449400, TraesCSU02G093100"
pfdr0.05	7dpi	SA	GO:0009579	CC	e	thylakoid                     	enriched-SA	5/229	5	229	0.00429	5.21E-05	3	5	0.00429	"TraesCS2A02G448400, TraesCS2A02G563100, TraesCS2B02G623400, TraesCS2D02G525700, TraesCS6B02G113200"
pfdr0.05	7dpi	OA	GO:0009611	BP	e	response to wounding          	enriched-OA	5/544	5	544	0.0118	0.000228	3	5	0.0118	"TraesCS2A02G158800, TraesCS2D02G165800, TraesCS2D02G525900, TraesCS3D02G094200, TraesCS5B02G145900"
pfdr0.05	7dpi	OA	GO:0016021	CC	e	integral component of membrane	both	63/544	63	544	7.23E-07	4.84E-09	3	63	7.23E-07	"TraesCS1A02G230400, TraesCS1A02G304900, TraesCS1A02G390500, TraesCS1A02G395100, TraesCS1A02G433500, TraesCS1B02G060700, TraesCS1D02G004500, TraesCS1D02G083900, TraesCS1D02G296300, TraesCS2A02G026900, TraesCS2A02G046600, TraesCS2A02G232200, TraesCS2B02G084000, TraesCS2B02G586400, TraesCS2D02G307400, TraesCS2D02G569900, TraesCS2D02G570300, TraesCS2D02G571100, TraesCS2D02G571200, TraesCS2D02G572600, TraesCS2D02G574200, TraesCS3B02G306400, TraesCS3B02G481000, TraesCS3D02G003500, TraesCS3D02G040800, TraesCS3D02G344500, TraesCS3D02G356300, TraesCS4A02G127000, TraesCS4A02G130300, TraesCS4A02G187300, TraesCS4A02G283900, TraesCS4A02G393600, TraesCS4B02G311100, TraesCS4D02G026800, TraesCS5A02G499900, TraesCS5B02G056700, TraesCS5B02G197300, TraesCS5B02G394200, TraesCS5D02G407500, TraesCS6A02G058500, TraesCS6A02G101800, TraesCS6A02G374400, TraesCS6A02G385000, TraesCS6B02G005300, TraesCS6B02G007400, TraesCS6B02G109300, TraesCS6B02G129800, TraesCS6B02G412100, TraesCS6D02G090200, TraesCS6D02G214300, TraesCS6D02G358900, TraesCS6D02G375700, TraesCS6D02G389600, TraesCS7A02G118900, TraesCS7A02G347800, TraesCS7A02G461200, TraesCS7B02G321200, TraesCS7D02G036700, TraesCS7D02G114200, TraesCS7D02G412900, TraesCS7D02G449400, TraesCS7D02G466700, TraesCSU02G093100"
pfdr0.05	7dpi	SA	GO:0016021	CC	e	integral component of membrane	both	29/229	29	229	0.00163	1.47E-05	3	29	0.00163	"TraesCS1A02G030000, TraesCS1A02G277100, TraesCS1D02G312800, TraesCS2A02G105400, TraesCS2B02G013000, TraesCS2B02G603000, TraesCS2D02G525700, TraesCS3B02G024000, TraesCS3B02G470200, TraesCS3D02G010700, TraesCS4A02G257400, TraesCS4A02G286600, TraesCS4A02G301600, TraesCS4B02G050200, TraesCS4B02G262900, TraesCS5A02G308600, TraesCS5A02G365400, TraesCS5B02G007100, TraesCS5B02G366900, TraesCS5D02G338200, TraesCS6A02G001000, TraesCS6B02G071600, TraesCS6D02G060200, TraesCS7A02G206400, TraesCS7A02G523000, TraesCS7D02G130800, TraesCS7D02G375100, TraesCSU02G039800, TraesCSU02G207500"
pfdr0.05	7dpi	OA	GO:0016701	MF	e	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	enriched-OA	5/544	5	544	0.00244	3.39E-05	3	5	0.00244	"TraesCS1A02G238700, TraesCS4B02G311100, TraesCS4D02G035200, TraesCS5A02G455800, TraesCS7A02G003600"
pfdr0.05	7dpi	OA	GO:0016730	MF	e	"oxidoreductase activity, acting on iron-sulfur proteins as donors"	enriched-OA	2/544	2	544	0.0231	0.000542	3	2	0.0231	"TraesCS4B02G311100, TraesCS5A02G423000"
pfdr0.05	7dpi	SA	GO:0016741	MF	e	"transferase activity, transferring one-carbon groups"	enriched-SA	7/229	7	229	0.00338	3.65E-05	3	7	0.00338	"TraesCS1A02G030400, TraesCS2A02G324500, TraesCS2A02G467900, TraesCS4A02G301600, TraesCS6A02G015400, TraesCS6B02G022400, TraesCS7B02G190700"
pfdr0.05	7dpi	OA	GO:0016769	MF	e	"transferase activity, transferring nitrogenous groups"	enriched-OA	4/544	4	544	0.00532	9.52E-05	3	4	0.00532	"TraesCS1A02G291200, TraesCS3A02G305400, TraesCS5A02G375000, TraesCS5B02G376900"
pfdr0.05	7dpi	OA	GO:0016772	MF	e	"transferase activity, transferring phosphorus-containing groups"	enriched-OA	34/544	34	544	5.58E-05	5.56E-07	3	34	5.58E-05	"TraesCS1A02G433500, TraesCS1B02G036700, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G145300, TraesCS2D02G571100, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS3A02G049600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G055700, TraesCS3B02G055835, TraesCS3B02G056500, TraesCS3B02G481000, TraesCS3D02G001500, TraesCS3D02G040800, TraesCS3D02G192800, TraesCS3D02G438600, TraesCS4A02G187300, TraesCS4A02G465900, TraesCS5A02G413900, TraesCS5B02G056700, TraesCS5B02G428400, TraesCS5D02G019400, TraesCS6A02G004500, TraesCS6A02G008400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G152700, TraesCS6D02G375700, TraesCS7A02G434100, TraesCS7B02G333700, TraesCS7D02G036700"
pfdr0.05	7dpi	SA	GO:0016788	MF	e	"hydrolase activity, acting on ester bonds"	enriched-SA	9/229	9	229	0.0088	0.00013	3	9	0.0088	"TraesCS1A02G152600, TraesCS1B02G170100, TraesCS1B02G367500, TraesCS1B02G367800, TraesCS2A02G192100, TraesCS3B02G039600, TraesCS3D02G022400, TraesCS6D02G229600, TraesCS6D02G350000"
pfdr0.05	7dpi	SA	GO:0016859	MF	e	cis-trans isomerase activity  	enriched-SA	3/229	3	229	0.0182	0.000323	3	3	0.0182	"TraesCS3D02G004600, TraesCS6B02G189300, TraesCS6B02G404500"
pfdr0.05	7dpi	SA	GO:0017144	BP	e	drug metabolic process        	enriched-SA	7/229	7	229	0.0147	0.00024	3	7	0.0147	"TraesCS1D02G096300, TraesCS2A02G467900, TraesCS2D02G571400, TraesCS4D02G259000, TraesCS6A02G047500, TraesCS6B02G063400, TraesCS6B02G342400"
pfdr0.05	7dpi	OA	GO:0019222	BP	e	regulation of metabolic process	enriched-OA	27/544	27	544	0.00375	6.19E-05	3	27	0.00375	"TraesCS1A02G265600, TraesCS1A02G445500, TraesCS1B02G276500, TraesCS1B02G276900, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G245100, TraesCS2D02G144800, TraesCS2D02G568600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G173300, TraesCS3A02G339600, TraesCS3B02G123500, TraesCS3B02G204200, TraesCS3D02G094200, TraesCS3D02G173300, TraesCS3D02G179800, TraesCS4A02G373100, TraesCS4B02G329100, TraesCS5A02G533500, TraesCS6B02G005300, TraesCS6B02G412300, TraesCS6D02G358700, TraesCS6D02G371300, TraesCS7A02G128800, TraesCS7D02G263800"
pfdr0.05	7dpi	OA	GO:0019842	MF	e	vitamin binding               	enriched-OA	6/544	6	544	0.0109	0.000208	3	6	0.0109	"TraesCS1A02G291200, TraesCS2D02G493600, TraesCS3A02G305400, TraesCS5A02G375000, TraesCS5B02G376900, TraesCS7A02G392800"
pfdr0.05	7dpi	SA	GO:0034641	BP	e	cellular nitrogen compound metabolic process	both	23/229	23	229	9.95E-05	4.80E-07	3	23	9.95E-05	"TraesCS1A02G152600, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G436700, TraesCS2A02G009300, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS4A02G315700, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS5B02G531900, TraesCS6B02G113200, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7D02G032700, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:0034641	BP	e	cellular nitrogen compound metabolic process	both	34/544	34	544	0.00391	6.57E-05	3	34	0.00391	"TraesCS1B02G233200, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G125200, TraesCS2D02G493600, TraesCS2D02G572300, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G022200, TraesCS3D02G173300, TraesCS3D02G192800, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4A02G437100, TraesCS4B02G311100, TraesCS4B02G329100, TraesCS5A02G014400, TraesCS5B02G042800, TraesCS6B02G005300, TraesCS6B02G041500, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7A02G442500, TraesCS7D02G015500, TraesCS7D02G073400, TraesCS7D02G263800, TraesCSU02G002300"
pfdr0.05	7dpi	OA	GO:0034975	BP	e	protein folding in endoplasmic reticulum	enriched-OA	2/544	2	544	0.00375	6.07E-05	3	2	0.00375	"TraesCS4B02G101800, TraesCS6B02G058300"
pfdr0.05	7dpi	OA	GO:0043168	MF	e	anion binding                 	both	101/544	101	544	5.42E-29	8.44E-32	3	101	5.42E-29	"TraesCS1A02G291200, TraesCS1A02G433500, TraesCS1B02G036700, TraesCS1B02G060700, TraesCS1B02G233200, TraesCS1B02G476600, TraesCS2A02G003900, TraesCS2A02G026600, TraesCS2A02G112300, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G493600, TraesCS2D02G571100, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS2D02G574500, TraesCS3A02G049600, TraesCS3A02G305400, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G055700, TraesCS3B02G055835, TraesCS3B02G056500, TraesCS3B02G306400, TraesCS3B02G481000, TraesCS3D02G001500, TraesCS3D02G022200, TraesCS3D02G040800, TraesCS3D02G234300, TraesCS3D02G356300, TraesCS3D02G438600, TraesCS4A02G035700, TraesCS4A02G130300, TraesCS4A02G187300, TraesCS4A02G331100, TraesCS4A02G357200, TraesCS4A02G363900, TraesCS4A02G393500, TraesCS4A02G444900, TraesCS4A02G447300, TraesCS4A02G447700, TraesCS4A02G465900, TraesCS4A02G466000, TraesCS4A02G471700, TraesCS4B02G140200, TraesCS4D02G134900, TraesCS4D02G267800, TraesCS5A02G003600, TraesCS5A02G157200, TraesCS5A02G217300, TraesCS5A02G260600, TraesCS5A02G321300, TraesCS5A02G375000, TraesCS5A02G413900, TraesCS5A02G479300, TraesCS5B02G042800, TraesCS5B02G056700, TraesCS5B02G087700, TraesCS5B02G376900, TraesCS5B02G428400, TraesCS5B02G492500, TraesCS5D02G019400, TraesCS5D02G276100, TraesCS5D02G328100, TraesCS5D02G492900, TraesCS6A02G004500, TraesCS6A02G008400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G058300, TraesCS6B02G141400, TraesCS6B02G152700, TraesCS6B02G353200, TraesCS6B02G367800, TraesCS6D02G375700, TraesCS6D02G392700, TraesCS7A02G007400, TraesCS7A02G039500, TraesCS7A02G039900, TraesCS7A02G046900, TraesCS7A02G111100, TraesCS7A02G118900, TraesCS7A02G392800, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G442600, TraesCS7A02G536900, TraesCS7A02G567500, TraesCS7B02G044200, TraesCS7B02G333700, TraesCS7B02G340200, TraesCS7B02G446900, TraesCS7D02G017400, TraesCS7D02G020800, TraesCS7D02G036700, TraesCS7D02G114200, TraesCS7D02G241100, TraesCS7D02G544600, TraesCS7D02G546100, TraesCSU02G093100, TraesCSU02G141500"
pfdr0.05	7dpi	SA	GO:0043168	MF	e	anion binding                 	both	23/229	23	229	0.0365	0.000807	3	23	0.0365	"TraesCS2A02G004200, TraesCS2B02G011400, TraesCS2D02G525700, TraesCS3A02G001500, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS4D02G259000, TraesCS5A02G365400, TraesCS5A02G428200, TraesCS5B02G102000, TraesCS5B02G366900, TraesCS5B02G530800, TraesCS5B02G535100, TraesCS5B02G535400, TraesCS5D02G550900, TraesCS6A02G013600, TraesCS6B02G113200, TraesCS7A02G005000, TraesCS7A02G006500, TraesCS7A02G523000, TraesCS7B02G002300, TraesCS7B02G416600, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:0043169	MF	e	cation binding                	both	60/544	60	544	9.87E-14	3.99E-16	3	60	9.87E-14	"TraesCS1A02G002400, TraesCS1A02G139900, TraesCS1A02G395100, TraesCS1A02G445600, TraesCS1B02G107600, TraesCS1B02G285500, TraesCS1D02G004500, TraesCS2A02G121200, TraesCS2A02G395000, TraesCS2B02G360300, TraesCS2B02G576100, TraesCS2D02G568600, TraesCS2D02G570300, TraesCS2D02G571900, TraesCS3A02G530800, TraesCS3D02G192800, TraesCS3D02G237500, TraesCS3D02G312000, TraesCS4A02G130300, TraesCS4A02G357200, TraesCS4A02G414800, TraesCS4B02G155800, TraesCS4B02G382300, TraesCS4D02G035200, TraesCS5A02G014400, TraesCS5A02G226400, TraesCS5A02G317600, TraesCS5A02G375000, TraesCS5A02G499900, TraesCS5B02G202700, TraesCS5B02G224900, TraesCS5B02G376900, TraesCS5B02G428400, TraesCS5D02G058700, TraesCS5D02G210600, TraesCS5D02G233700, TraesCS5D02G407500, TraesCS5D02G565100, TraesCS6A02G008400, TraesCS6A02G101800, TraesCS6A02G173700, TraesCS6B02G041500, TraesCS6B02G088900, TraesCS6B02G129800, TraesCS6B02G158300, TraesCS6B02G412300, TraesCS6D02G048300, TraesCS6D02G090200, TraesCS6D02G358700, TraesCS6D02G381300, TraesCS7A02G013400, TraesCS7A02G141000, TraesCS7A02G345500, TraesCS7A02G350000, TraesCS7A02G442500, TraesCS7A02G523800, TraesCS7B02G340200, TraesCS7D02G512800, TraesCSU02G007800, TraesCSU02G118100"
