##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Pyrimidine metabolism	KEGG PATHWAY	osa00240	9	110	0.0369902706082	0.0739805412165	4347891|4327558|4346302|4339675|4344159|4343249|4330570|4330657|4325740	http://www.genome.jp/kegg-bin/show_pathway?osa00240/osa:4330570%09red/osa:4347891%09red/osa:4346302%09red/osa:4339675%09red/osa:4325740%09red/osa:4327558%09red/osa:4344159%09red/osa:4330657%09red/osa:4343249%09red
Plant-pathogen interaction	KEGG PATHWAY	osa04626	9	112	0.0404725358549	0.0793884357153	4347405|4331490|4337016|4338474|4336783|4334519|4342317|9267802|4347402	http://www.genome.jp/kegg-bin/show_pathway?osa04626/osa:4347402%09red/osa:9267802%09red/osa:4338474%09red/osa:4347405%09red/osa:4336783%09red/osa:4337016%09red/osa:4342317%09red/osa:4331490%09red/osa:4334519%09red
2-Oxocarboxylic acid metabolism	KEGG PATHWAY	osa01210	5	46	0.0430539919988	0.0828586261109	4328812|4330380|4336645|4324176|4332434	http://www.genome.jp/kegg-bin/show_pathway?osa01210/osa:4328812%09red/osa:4332434%09red/osa:4324176%09red/osa:4336645%09red/osa:4330380%09red
Brassinosteroid biosynthesis	KEGG PATHWAY	osa00905	2	9	0.0627260028337	0.117861655541	4332134|4333399	http://www.genome.jp/kegg-bin/show_pathway?osa00905/osa:4332134%09red/osa:4333399%09red
Cyanoamino acid metabolism	KEGG PATHWAY	osa00460	4	36	0.0635528534778	0.117861655541	4334116|4350456|4347547|4330077	http://www.genome.jp/kegg-bin/show_pathway?osa00460/osa:4334116%09red/osa:4347547%09red/osa:4330077%09red/osa:4350456%09red
Propanoate metabolism	KEGG PATHWAY	osa00640	3	22	0.0669701084538	0.121981268969	4346520|4324637|4326980	http://www.genome.jp/kegg-bin/show_pathway?osa00640/osa:4324637%09red/osa:4346520%09red/osa:4326980%09red
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	osa00710	6	73	0.0786768447493	0.140790143236	4338750|4338007|4349897|4325531|4347691|4346699	http://www.genome.jp/kegg-bin/show_pathway?osa00710/osa:4338750%09red/osa:4338007%09red/osa:4347691%09red/osa:4349897%09red/osa:4346699%09red/osa:4325531%09red
Protein processing in endoplasmic reticulum	KEGG PATHWAY	osa04141	12	189	0.0808816394794	0.142240124602	4328607|4347405|4347402|4343386|4328075|4335732|4347226|4334598|4332237|4339788|9267802|4340541	http://www.genome.jp/kegg-bin/show_pathway?osa04141/osa:4347402%09red/osa:4339788%09red/osa:9267802%09red/osa:4347405%09red/osa:4347226%09red/osa:4335732%09red/osa:4334598%09red/osa:4328607%09red/osa:4328075%09red/osa:4340541%09red/osa:4332237%09red/osa:4343386%09red
Cysteine and methionine metabolism	KEGG PATHWAY	osa00270	7	96	0.0958747284597	0.165749530557	4331779|4333976|4331861|4331941|4352747|4336750|4336645	http://www.genome.jp/kegg-bin/show_pathway?osa00270/osa:4352747%09red/osa:4336750%09red/osa:4331941%09red/osa:4333976%09red/osa:4331779%09red/osa:4331861%09red/osa:4336645%09red
Alanine, aspartate and glutamate metabolism	KEGG PATHWAY	osa00250	4	43	0.101326613469	0.172255242898	4333896|4332184|4344928|4331779	http://www.genome.jp/kegg-bin/show_pathway?osa00250/osa:4333896%09red/osa:4331779%09red/osa:4332184%09red/osa:4344928%09red
Valine, leucine and isoleucine biosynthesis	KEGG PATHWAY	osa00290	2	14	0.121033677837	0.199119921603	4336645|4333898	http://www.genome.jp/kegg-bin/show_pathway?osa00290/osa:4336645%09red/osa:4333898%09red
One carbon pool by folate	KEGG PATHWAY	osa00670	2	14	0.121033677837	0.199119921603	4350456|4334554	http://www.genome.jp/kegg-bin/show_pathway?osa00670/osa:4334554%09red/osa:4350456%09red
Selenocompound metabolism	KEGG PATHWAY	osa00450	2	16	0.147007178611	0.238011622513	4348562|4344159	http://www.genome.jp/kegg-bin/show_pathway?osa00450/osa:4348562%09red/osa:4344159%09red
Citrate cycle (TCA cycle)	KEGG PATHWAY	osa00020	4	51	0.154245900502	0.242047413096	4328812|4334968|4324176|4326980	http://www.genome.jp/kegg-bin/show_pathway?osa00020/osa:4328812%09red/osa:4334968%09red/osa:4326980%09red/osa:4324176%09red
Pentose phosphate pathway	KEGG PATHWAY	osa00030	4	51	0.154245900502	0.242047413096	4349897|4327239|4342988|4345338	http://www.genome.jp/kegg-bin/show_pathway?osa00030/osa:4349897%09red/osa:4342988%09red/osa:4345338%09red/osa:4327239%09red
Glycerophospholipid metabolism	KEGG PATHWAY	osa00564	5	71	0.160521938778	0.24807935993	4324826|4348512|4344972|4327964|4334641	http://www.genome.jp/kegg-bin/show_pathway?osa00564/osa:4327964%09red/osa:4324826%09red/osa:4334641%09red/osa:4348512%09red/osa:4344972%09red
Biotin metabolism	KEGG PATHWAY	osa00780	2	20	0.201635109195	0.306966882655	4334104|4348791	http://www.genome.jp/kegg-bin/show_pathway?osa00780/osa:4334104%09red/osa:4348791%09red
Isoquinoline alkaloid biosynthesis	KEGG PATHWAY	osa00950	2	21	0.215649625925	0.323474438888	4324941|4337055	http://www.genome.jp/kegg-bin/show_pathway?osa00950/osa:4337055%09red/osa:4324941%09red
Glycosphingolipid biosynthesis - ganglio series	KEGG PATHWAY	osa00604	1	6	0.23663523709	0.349808611351	4343697	http://www.genome.jp/kegg-bin/show_pathway?osa00604/osa:4343697%09red
Phosphatidylinositol signaling system	KEGG PATHWAY	osa04070	3	43	0.25205636533	0.367282132338	4333967|4337982|4331188	http://www.genome.jp/kegg-bin/show_pathway?osa04070/osa:4333967%09red/osa:4331188%09red/osa:4337982%09red
Synthesis and degradation of ketone bodies	KEGG PATHWAY	osa00072	1	7	0.265524284791	0.381457423221	4346520	http://www.genome.jp/kegg-bin/show_pathway?osa00072/osa:4346520%09red
Glycosaminoglycan degradation	KEGG PATHWAY	osa00531	1	8	0.293320904525	0.399069624506	4343697	http://www.genome.jp/kegg-bin/show_pathway?osa00531/osa:4343697%09red
Vitamin B6 metabolism	KEGG PATHWAY	osa00750	1	8	0.293320904525	0.399069624506	4325651	http://www.genome.jp/kegg-bin/show_pathway?osa00750/osa:4325651%09red
Glycosphingolipid biosynthesis - globo series	KEGG PATHWAY	osa00603	1	8	0.293320904525	0.399069624506	4343697	http://www.genome.jp/kegg-bin/show_pathway?osa00603/osa:4343697%09red
Terpenoid backbone biosynthesis	KEGG PATHWAY	osa00900	3	47	0.293433547431	0.399069624506	4342614|4326153|4346520	http://www.genome.jp/kegg-bin/show_pathway?osa00900/osa:4342614%09red/osa:4346520%09red/osa:4326153%09red
Arachidonic acid metabolism	KEGG PATHWAY	osa00590	1	10	0.345800410592	0.464100551057	4336627	http://www.genome.jp/kegg-bin/show_pathway?osa00590/osa:4336627%09red
Sulfur metabolism	KEGG PATHWAY	osa00920	2	35	0.410871903592	0.537294027774	4331861|4331941	http://www.genome.jp/kegg-bin/show_pathway?osa00920/osa:4331941%09red/osa:4331861%09red
Ubiquinone and other terpenoid-quinone biosynthesis	KEGG PATHWAY	osa00130	2	35	0.410871903592	0.537294027774	4345717|4338409	http://www.genome.jp/kegg-bin/show_pathway?osa00130/osa:4338409%09red/osa:4345717%09red
SNARE interactions in vesicular transport	KEGG PATHWAY	osa04130	2	37	0.437158285402	0.560190759747	4348130|4331733	http://www.genome.jp/kegg-bin/show_pathway?osa04130/osa:4348130%09red/osa:4331733%09red
Other glycan degradation	KEGG PATHWAY	osa00511	1	14	0.439365301763	0.560190759747	4343697	http://www.genome.jp/kegg-bin/show_pathway?osa00511/osa:4343697%09red
Lysine biosynthesis	KEGG PATHWAY	osa00300	1	15	0.460587410024	0.579998960771	4347172	http://www.genome.jp/kegg-bin/show_pathway?osa00300/osa:4347172%09red
Tropane, piperidine and pyridine alkaloid biosynthesis	KEGG PATHWAY	osa00960	1	16	0.481006814061	0.591116807642	4324941	http://www.genome.jp/kegg-bin/show_pathway?osa00960/osa:4324941%09red
Taurine and hypotaurine metabolism	KEGG PATHWAY	osa00430	1	16	0.481006814061	0.591116807642	4332184	http://www.genome.jp/kegg-bin/show_pathway?osa00430/osa:4332184%09red
Purine metabolism	KEGG PATHWAY	osa00230	5	130	0.582292696676	0.697736374534	4352706|4333171|4324793|4330570|4344386	http://www.genome.jp/kegg-bin/show_pathway?osa00230/osa:4330570%09red/osa:4352706%09red/osa:4344386%09red/osa:4333171%09red/osa:4324793%09red
Sphingolipid metabolism	KEGG PATHWAY	osa00600	1	22	0.58828753147	0.697736374534	4326459	http://www.genome.jp/kegg-bin/show_pathway?osa00600/osa:4326459%09red
Ether lipid metabolism	KEGG PATHWAY	osa00565	1	22	0.58828753147	0.697736374534	4334641	http://www.genome.jp/kegg-bin/show_pathway?osa00565/osa:4334641%09red
Circadian rhythm - plant	KEGG PATHWAY	osa04712	1	24	0.618875168651	0.725577783936	4347674	http://www.genome.jp/kegg-bin/show_pathway?osa04712/osa:4347674%09red
Protein export	KEGG PATHWAY	osa03060	2	54	0.63093646575	0.731312721665	4339788|4328075	http://www.genome.jp/kegg-bin/show_pathway?osa03060/osa:4339788%09red/osa:4328075%09red
Carotenoid biosynthesis	KEGG PATHWAY	osa00906	1	27	0.660552106479	0.757037245627	4347261	http://www.genome.jp/kegg-bin/show_pathway?osa00906/osa:4347261%09red
N-Glycan biosynthesis	KEGG PATHWAY	osa00510	1	34	0.740939235042	0.839731133048	4329853	http://www.genome.jp/kegg-bin/show_pathway?osa00510/osa:4329853%09red
Porphyrin and chlorophyll metabolism	KEGG PATHWAY	osa00860	1	37	0.769276597456	0.86226607627	4327178	http://www.genome.jp/kegg-bin/show_pathway?osa00860/osa:4327178%09red
RNA polymerase	KEGG PATHWAY	osa03020	1	40	0.794516530785	0.880877023261	4330570	http://www.genome.jp/kegg-bin/show_pathway?osa03020/osa:4330570%09red
Phagosome	KEGG PATHWAY	osa04145	2	77	0.805306751073	0.883239662467	4335732|4337982	http://www.genome.jp/kegg-bin/show_pathway?osa04145/osa:4335732%09red/osa:4337982%09red
Aminoacyl-tRNA biosynthesis	KEGG PATHWAY	osa00970	3	113	0.819528461653	0.889275564773	4348562|4348211|4345200	http://www.genome.jp/kegg-bin/show_pathway?osa00970/osa:4348562%09red/osa:4345200%09red/osa:4348211%09red
Endocytosis	KEGG PATHWAY	osa04144	3	127	0.873769372381	0.938152378766	4331188|4334598|4324542	http://www.genome.jp/kegg-bin/show_pathway?osa04144/osa:4324542%09red/osa:4334598%09red/osa:4331188%09red
RNA degradation	KEGG PATHWAY	osa03018	2	97	0.892907313498	0.948714020592	4340042|4332428	http://www.genome.jp/kegg-bin/show_pathway?osa03018/osa:4332428%09red/osa:4340042%09red
Photosynthesis	KEGG PATHWAY	osa00195	1	70	0.935528590067	0.983751713266	4348816	http://www.genome.jp/kegg-bin/show_pathway?osa00195/osa:4348816%09red
Oxidative phosphorylation	KEGG PATHWAY	osa00190	2	137	0.969883313175	0.999249758983	4352910|4326846	http://www.genome.jp/kegg-bin/show_pathway?osa00190/osa:4326846%09red/osa:4352910%09red
mRNA surveillance pathway	KEGG PATHWAY	osa03015	1	104	0.982691510728	0.999249758983	4332428	http://www.genome.jp/kegg-bin/show_pathway?osa03015/osa:4332428%09red
RNA transport	KEGG PATHWAY	osa03013	1	149	0.996970045467	0.999249758983	4332428	http://www.genome.jp/kegg-bin/show_pathway?osa03013/osa:4332428%09red
Ribosome	KEGG PATHWAY	osa03010	4	337	0.999065936371	0.999249758983	4341664|4334651|4331189|4337526	http://www.genome.jp/kegg-bin/show_pathway?osa03010/osa:4337526%09red/osa:4341664%09red/osa:4334651%09red/osa:4331189%09red
Spliceosome	KEGG PATHWAY	osa03040	1	185	0.999249758983	0.999249758983	4334598	http://www.genome.jp/kegg-bin/show_pathway?osa03040/osa:4334598%09red

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------
